Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0,OWS,DWS,WS,WS/48,0,OBPM,DBPM,BPM,VORP
102,Luol Deng,SF,21,CHI,82,3071,18.7,.560,.006,.295,5.5,15.9,10.8,11.8,1.6,1.2,10.0,22.2,0,5.7,5.6,11.3,.176,0,0.8,1.9,2.7,3.6
103,Boris Diaw,PF,24,PHO,73,2268,13.0,.570,.079,.211,4.9,11.0,8.1,21.7,0.6,1.2,19.9,15.4,0,3.0,1.5,4.6,.097,0,0.2,0.8,1.0,1.7
104,Yakhouba Diawara,SG,24,DEN,64,1177,5.3,.450,.582,.182,2.6,7.8,5.3,6.5,1.3,0.4,10.5,12.8,0,-0.2,0.8,0.5,.021,0,-2.3,-0.8,-3.1,-0.3
105,Dan Dickau,PG,28,POR,50,444,12.2,.476,.404,.351,1.9,10.3,6.0,26.3,1.7,0.2,13.4,21.3,0,0.3,0.2,0.4,.048,0,-0.2,-2.9,-3.1,-0.1
106,Travis Diener,PG,24,ORL,26,288,11.6,.566,.625,.188,1.3,6.3,3.9,20.0,0.7,0.0,13.1,16.0,0,0.5,0.2,0.7,.113,0,1.0,-3.5,-2.6,0.0
107,Ike Diogu,PF,23,TOT,59,760,14.9,.559,.000,.526,11.0,19.5,15.2,5.7,0.5,2.6,17.0,22.9,0,0.7,0.8,1.5,.094,0,-3.3,-1.5,-4.9,-0.5
108,DeSagana Diop,C,25,DAL,81,1480,10.6,.503,.007,.570,13.8,21.6,17.8,2.8,1.4,5.8,25.0,7.9,0,0.7,3.1,3.8,.123,0,-2.3,4.7,2.4,1.7
109,Juan Dixon,SG,28,TOT,81,1926,11.8,.516,.321,.165,1.7,8.4,5.0,11.0,2.1,0.4,11.8,20.7,0,0.5,1.2,1.7,.042,0,-0.6,-1.4,-2.0,0.0
110,Michael Doleac,C,29,MIA,56,698,11.0,.518,.006,.234,7.6,18.3,13.1,5.1,1.4,1.7,13.5,15.1,0,0.3,0.9,1.2,.086,0,-3.9,0.2,-3.6,-0.3
111,Keyon Dooling,SG,26,ORL,66,1435,11.1,.501,.210,.308,1.9,5.4,3.7,13.1,1.9,0.8,12.2,19.1,0,0.7,1.4,2.1,.071,0,-1.4,-1.0,-2.4,-0.2
112,Quincy Douby,PG,22,SAC,42,359,9.0,.449,.397,.119,3.5,8.7,6.0,6.9,2.1,0.9,10.2,18.5,0,-0.3,0.3,0.0,-0.006,0,-3.4,-1.7,-5.1,-0.3
