Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0,OWS,DWS,WS,WS/48,0,OBPM,DBPM,BPM,VORP
79,Sean Colson,PG,25,TOT,13,44,6.8,.291,.208,.167,5.4,10.2,7.7,38.7,1.2,0.0,7.2,28.8,0,-0.1,0.0,-0.1,-0.106,0,-3.0,-3.3,-6.3,0.0
80,Tyrone Corbin,SF,38,TOR,15,117,-2.2,.252,.132,.105,2.8,9.9,6.3,5.0,0.9,0.0,7.0,16.3,0,-0.4,0.1,-0.3,-0.126,0,-8.4,-2.6,-11.0,-0.3
81,Chris Crawford,PF,25,ATL,47,901,9.5,.519,.081,.307,3.4,10.2,6.8,6.9,1.2,1.3,16.8,18.3,0,0.1,0.5,0.6,.031,0,-3.1,-0.9,-4.0,-0.5
82,Jamal Crawford,PG,20,CHI,61,1050,8.5,.442,.385,.112,1.0,9.4,5.0,23.0,2.2,1.0,21.0,17.9,0,-1.3,0.4,-0.9,-0.043,0,-3.9,-2.3,-6.3,-1.1
83,Austin Croshere,PF,25,IND,81,1874,14.3,.512,.295,.330,7.7,15.5,11.7,8.8,1.0,1.9,14.5,23.4,0,1.2,2.0,3.2,.082,0,-0.8,-1.0,-1.9,0.1
84,John Crotty,PG,31,UTA,31,264,7.2,.443,.108,.292,6.2,6.9,6.6,19.4,1.2,0.0,20.6,16.1,0,0.0,0.1,0.1,.019,0,-2.8,-1.8,-4.6,-0.2
85,Vonteego Cummings,PG,24,GSW,66,1495,10.4,.425,.277,.224,3.1,7.0,4.9,24.4,2.3,0.7,13.8,18.6,0,-0.2,0.4,0.2,.007,0,-1.6,-2.1,-3.7,-0.6
86,Bill Curley,PF,28,TOT,20,192,10.5,.569,.043,.404,10.7,9.6,10.2,2.6,1.9,3.3,22.4,15.8,0,0.0,0.1,0.2,.038,0,-3.3,-0.6,-3.9,-0.1
87,Dell Curry,SG,36,TOR,71,956,14.4,.530,.380,.134,1.8,8.3,5.0,13.2,1.5,0.6,8.8,20.7,0,1.5,0.5,2.0,.101,0,1.1,-2.7,-1.6,0.1
88,Michael Curry,SG,32,DET,68,1485,7.5,.507,.028,.229,1.5,7.4,4.4,13.9,0.9,0.1,14.8,12.0,0,0.8,0.9,1.7,.055,0,-2.9,-0.7,-3.6,-0.6
89,Erick Dampier,C,25,GSW,43,1038,10.0,.432,.006,.401,9.2,17.0,12.8,9.2,0.8,4.0,18.2,18.4,0,-1.0,0.6,-0.5,-0.021,0,-4.7,0.5,-4.2,-0.6
90,Antonio Daniels,PG,25,SAS,79,2060,15.5,.567,.311,.265,1.5,7.2,4.5,24.9,1.6,0.5,14.2,17.5,0,4.1,2.4,6.6,.153,0,2.1,-0.6,1.5,1.8
91,Kornel David,SF,29,TOT,27,209,12.0,.547,.000,.255,7.8,20.1,13.8,5.3,1.5,1.3,16.2,14.3,0,0.2,0.2,0.4,.102,0,-3.0,-0.1,-3.2,-0.1
92,Antonio Davis,C,32,TOR,78,2729,16.5,.508,.001,.488,11.0,21.7,16.2,6.2,0.4,3.9,11.4,19.5,0,4.2,3.1,7.2,.127,0,-0.9,0.8,-0.1,1.3
93,Baron Davis,PG,21,CHH,82,3192,16.6,.512,.286,.352,4.6,9.9,7.3,32.5,2.9,0.8,17.0,19.2,0,4.2,4.7,8.9,.134,0,2.2,1.1,3.3,4.3
94,Dale Davis,C,31,POR,81,2162,15.1,.524,.008,.312,13.3,19.9,16.7,7.4,1.1,2.6,10.8,13.4,0,3.8,2.8,6.6,.147,0,0.2,1.5,1.7,2.0
95,Emanual Davis,SG,32,SEA,62,1290,11.8,.527,.399,.173,2.5,11.2,6.9,16.1,2.6,0.7,18.4,14.7,0,0.9,0.9,1.8,.067,0,-0.3,0.0,-0.3,0.6
96,Hubert Davis,PG,30,TOT,66,1692,10.0,.569,.395,.143,1.9,7.3,4.6,10.3,1.1,0.0,15.0,14.5,0,1.6,0.6,2.2,.062,0,0.1,-1.7,-1.6,0.2
97,Ricky Davis,SG,21,MIA,7,70,18.9,.492,.034,.276,1.7,10.2,5.9,31.0,3.9,2.2,13.3,26.0,0,0.1,0.1,0.2,.139,0,-1.0,1.3,0.3,0.0
98,Terry Davis,PF,33,DEN,19,228,6.7,.476,.000,.880,11.3,14.0,12.6,4.4,0.2,0.3,12.6,7.8,0,0.2,0.0,0.2,.051,0,-2.9,-1.3,-4.1,-0.1
99,Todd Day,SG,31,MIN,31,345,10.1,.515,.585,.195,3.3,9.0,6.1,12.2,1.5,1.4,15.8,19.9,0,0.1,0.2,0.3,.048,0,-0.4,-2.3,-2.7,-0.1
100,Andrew DeClercq,C,27,ORL,67,903,12.8,.570,.000,.425,10.9,18.3,14.5,5.6,2.3,2.7,18.2,13.7,0,1.0,1.4,2.5,.132,0,-1.7,1.6,-0.2,0.4
101,Vinny Del Negro,PG,34,TOT,65,922,11.3,.501,.056,.188,1.4,8.8,4.9,21.7,1.5,0.2,11.8,13.6,0,1.0,0.6,1.6,.085,0,-2.5,-1.6,-4.2,-0.5
102,Tony Delk,SG,27,PHO,82,2288,13.4,.490,.182,.255,3.7,9.3,6.5,12.1,1.7,0.5,9.0,22.0,0,1.7,2.9,4.6,.096,0,-0.7,-0.4,-1.1,0.5
103,Derrick Dial,SG,25,SAS,33,207,14.3,.466,.120,.253,6.9,13.5,10.4,18.3,1.0,2.0,11.5,23.7,0,0.1,0.3,0.4,.091,0,-1.3,-0.1,-1.4,0.0
104,Michael Dickerson,SG,25,VAN,70,2618,12.4,.501,.225,.265,3.1,6.9,5.0,15.8,1.2,0.7,12.5,22.7,0,1.2,0.7,1.8,.034,0,0.0,-1.6,-1.6,0.2
105,Vlade Divac,C,32,SAC,81,2420,17.7,.536,.019,.464,9.5,20.2,15.0,15.2,1.8,2.6,17.4,20.1,0,3.1,4.3,7.4,.147,0,-0.1,2.9,2.8,2.9
106,Michael Doleac,C,23,ORL,77,1398,9.9,.443,.006,.112,5.4,16.5,10.8,7.8,1.4,2.2,9.6,19.4,0,-0.2,1.7,1.5,.050,0,-4.2,-0.3,-4.4,-0.9
107,Keyon Dooling,PG,20,LAC,76,1237,12.6,.509,.221,.494,0.8,7.3,4.1,23.7,1.8,0.6,17.6,20.0,0,0.8,0.7,1.4,.056,0,-1.2,-2.2,-3.4,-0.4
108,Sherman Douglas,PG,34,NJN,59,1094,9.9,.478,.132,.380,2.1,5.7,3.9,22.2,1.7,0.3,18.3,17.9,0,-0.1,0.3,0.2,.007,0,-2.9,-2.7,-5.7,-1.0
109,Bryce Drew,PG,26,CHI,48,1305,7.9,.450,.321,.058,1.1,5.4,3.1,24.0,1.3,0.2,16.9,14.4,0,-0.3,-0.1,-0.4,-0.015,0,-3.0,-3.8,-6.8,-1.6
110,Chris Dudley,C,35,PHO,53,613,7.2,.405,.000,.493,11.6,22.4,16.9,4.2,1.2,3.4,22.6,8.4,0,-0.2,1.2,1.0,.079,0,-5.3,3.1,-2.2,0.0
111,Tim Duncan,PF,24,SAS,82,3174,23.8,.536,.019,.471,9.7,25.1,17.8,15.3,1.2,4.2,12.5,28.7,0,6.2,7.1,13.2,.200,0,1.8,3.6,5.4,5.9
112,Tyus Edney,PG,27,IND,24,263,16.6,.490,.066,.429,2.2,7.9,5.2,35.7,3.5,0.0,18.8,23.6,0,0.2,0.3,0.5,.088,0,-1.3,-1.5,-2.7,0.0
113,Kevin Edwards,SG,35,VAN,46,634,8.3,.414,.112,.312,4.2,10.6,7.4,12.9,2.4,0.9,16.1,16.6,0,-0.6,0.5,-0.1,-0.011,0,-4.6,0.2,-4.4,-0.4
114,Howard Eisley,SG,28,DAL,82,2426,11.7,.507,.399,.187,1.1,7.8,4.5,18.2,2.1,0.4,12.3,15.6,0,2.4,2.0,4.4,.087,0,0.7,-0.4,0.3,1.4
115,Obinna Ekezie,PF,25,TOT,33,281,12.4,.484,.000,.654,12.7,19.9,16.2,5.3,0.9,1.3,11.8,18.8,0,0.3,0.1,0.4,.072,0,-2.5,-2.7,-5.3,-0.2
116,Khalid El-Amin,PG,21,CHI,50,936,12.2,.458,.270,.232,2.6,7.9,5.1,27.5,2.8,0.2,13.6,19.7,0,0.2,0.4,0.6,.030,0,-1.0,-2.7,-3.8,-0.4
117,Mario Elie,SG,37,PHO,68,1506,9.3,.541,.407,.280,2.8,9.0,5.8,12.9,2.0,0.6,17.8,10.0,0,1.1,2.0,3.1,.097,0,-1.6,1.5,-0.2,0.7
